Data rilevamento;Ora;Id Rete Monitoraggio;Codice Istat Comune;Progr. Punto Comune;Denominazione Stazione;Id Parametro;Descr. Parametro;Id Un. misura;Descr. Un. misura;Valore;Stato
01/01/2018;01:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;45.0;V;
01/01/2018;02:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;41.0;V;
01/01/2018;03:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;41.0;V;
01/01/2018;04:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;40.0;V;
01/01/2018;05:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;55.0;V;
01/01/2018;06:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;69.0;V;
01/01/2018;07:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;76.0;V;
01/01/2018;08:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;47.0;V;
01/01/2018;09:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;32.0;V;
01/01/2018;10:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;31.0;V;
01/01/2018;11:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;43.0;V;
01/01/2018;12:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;51.0;V;
01/01/2018;13:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;40.0;V;
01/01/2018;14:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;31.0;V;
01/01/2018;15:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;26.0;V;
01/01/2018;16:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;27.0;V;
01/01/2018;17:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;38.0;V;
01/01/2018;18:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;48.0;V;
01/01/2018;19:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;48.0;V;
01/01/2018;20:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;41.0;V;
01/01/2018;21:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;38.0;V;
01/01/2018;22:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;42.0;V;
01/01/2018;23:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;41.0;V;
01/01/2018;23:59;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;36.0;V;
02/01/2018;01:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;26.0;V;
02/01/2018;02:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;25.0;V;
02/01/2018;03:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;25.0;V;
02/01/2018;04:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;24.0;V;
02/01/2018;05:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;25.0;V;
02/01/2018;06:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;17.0;V;
02/01/2018;07:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;21.0;V;
02/01/2018;08:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;24.0;V;
02/01/2018;09:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;35.0;V;
02/01/2018;10:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;31.0;V;
02/01/2018;11:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;17.0;V;
02/01/2018;12:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;16.0;V;
02/01/2018;13:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;15.0;V;
02/01/2018;14:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;16.0;V;
02/01/2018;15:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;20.0;V;
02/01/2018;16:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;18.0;V;
02/01/2018;17:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;19.0;V;
02/01/2018;18:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;27.0;V;
02/01/2018;19:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;61.0;V;
02/01/2018;20:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;119.0;V;
02/01/2018;21:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;120.0;V;
02/01/2018;22:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;71.0;V;
02/01/2018;23:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;79.0;V;
02/01/2018;23:59;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;99.0;V;
03/01/2018;01:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;104.0;V;
03/01/2018;02:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;95.0;V;
03/01/2018;03:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;85.0;V;
03/01/2018;04:00;13;001272;822;Torino - Rubino;22;Ossidi totali di azoto (NOx);23;microgrammi / metro cubo;82.0;V;
